InvoiceID,CustomerID,ProductSKU,Quantity,UnitPrice,InvoiceDate,AcquisitionChannel,TotalSpend,Year,Month,MonthPeriod,DayName,Hour
INV-100055,14469.0,PROD-002,8,299.99,2025-04-10 14:00:00,Mobile App,2399.92,2025,4,2025-04,Thursday,14
INV-100056,12326.0,PROD-002,5,19.99,2026-03-09 11:00:00,Mobile App,99.94999999999999,2026,3,2026-03,Monday,11
INV-100058,13373.0,PROD-004,1,299.99,2025-10-27 18:00:00,Web,299.99,2025,10,2025-10,Monday,18
INV-100059,12070.0,PROD-004,4,49.99,2026-02-07 09:00:00,Mobile App,199.96,2026,2,2026-02,Saturday,9
INV-100060,14911.0,PROD-005,9,49.99,2026-03-25 14:00:00,Mobile App,449.91,2026,3,2026-03,Wednesday,14
INV-100061,11217.0,PROD-004,3,49.99,2026-03-13 18:00:00,Web,149.97,2026,3,2026-03,Friday,18
INV-100062,11757.0,PROD-001,1,49.99,2025-01-31 17:00:00,Mobile App,49.99,2025,1,2025-01,Friday,17
INV-100063,13581.0,PROD-002,4,4.99,2026-02-17 16:00:00,Web,19.96,2026,2,2026-02,Tuesday,16
INV-100065,14555.0,PROD-003,3,150.0,2025-04-14 19:00:00,Mobile App,450.0,2025,4,2025-04,Monday,19
INV-100066,12735.0,PROD-002,9,150.0,2025-07-01 19:00:00,Web,1350.0,2025,7,2025-07,Tuesday,19
INV-100067,10537.0,PROD-001,3,19.99,2025-08-03 16:00:00,Web,59.97,2025,8,2025-08,Sunday,16
INV-100068,12693.0,PROD-005,5,49.99,2025-02-17 17:00:00,Web,249.95000000000002,2025,2,2025-02,Monday,17
INV-100070,14276.0,PROD-002,4,150.0,2026-04-27 08:00:00,B2B Portal,600.0,2026,4,2026-04,Monday,8
INV-100071,12205.0,PROD-004,8,150.0,2025-01-27 11:00:00,Web,1200.0,2025,1,2025-01,Monday,11
INV-100072,10769.0,PROD-005,7,150.0,2026-04-26 17:00:00,Web,1050.0,2026,4,2026-04,Sunday,17
INV-100073,11243.0,PROD-003,4,150.0,2026-05-14 08:00:00,Web,600.0,2026,5,2026-05,Thursday,8
INV-100075,13327.0,PROD-003,6,19.99,2025-03-24 19:00:00,Mobile App,119.94,2025,3,2025-03,Monday,19
INV-100076,13723.0,PROD-002,2,150.0,2025-01-04 15:00:00,Web,300.0,2025,1,2025-01,Saturday,15
INV-100077,14061.0,PROD-004,7,299.99,2026-05-03 14:00:00,Mobile App,2099.9300000000003,2026,5,2026-05,Sunday,14
INV-100078,14469.0,PROD-001,8,4.99,2025-01-30 19:00:00,Web,39.92,2025,1,2025-01,Thursday,19
INV-100079,11329.0,PROD-002,4,19.99,2025-02-28 12:00:00,Web,79.96,2025,2,2025-02,Friday,12
INV-100080,10004.0,PROD-001,3,4.99,2025-04-29 18:00:00,Mobile App,14.97,2025,4,2025-04,Tuesday,18
INV-100081,11363.0,PROD-002,6,150.0,2026-04-16 10:00:00,Mobile App,900.0,2026,4,2026-04,Thursday,10
INV-100082,12729.0,PROD-004,8,150.0,2025-11-28 10:00:00,Mobile App,1200.0,2025,11,2025-11,Friday,10
INV-100083,14835.0,PROD-003,4,4.99,2025-01-26 08:00:00,Web,19.96,2025,1,2025-01,Sunday,8
INV-100084,14014.0,PROD-001,6,4.99,2025-10-21 17:00:00,Web,29.94,2025,10,2025-10,Tuesday,17
INV-100086,10232.0,PROD-002,9,4.99,2026-01-07 19:00:00,Web,44.910000000000004,2026,1,2026-01,Wednesday,19
INV-100087,10255.0,PROD-002,9,150.0,2025-12-03 14:00:00,Web,1350.0,2025,12,2025-12,Wednesday,14
INV-100088,11824.0,PROD-004,9,150.0,2026-04-08 11:00:00,Web,1350.0,2026,4,2026-04,Wednesday,11
INV-100089,10860.0,PROD-002,4,49.99,2025-07-01 19:00:00,Mobile App,199.96,2025,7,2025-07,Tuesday,19
INV-100090,10133.0,PROD-004,5,150.0,2025-05-29 10:00:00,Web,750.0,2025,5,2025-05,Thursday,10
INV-100091,12165.0,PROD-002,9,49.99,2025-10-22 15:00:00,Mobile App,449.91,2025,10,2025-10,Wednesday,15
INV-100092,12733.0,PROD-003,8,150.0,2025-11-19 19:00:00,Mobile App,1200.0,2025,11,2025-11,Wednesday,19
INV-100093,13913.0,PROD-002,9,49.99,2025-07-16 12:00:00,Mobile App,449.91,2025,7,2025-07,Wednesday,12
INV-100096,14964.0,PROD-001,7,49.99,2026-01-20 13:00:00,Web,349.93,2026,1,2026-01,Tuesday,13
INV-100097,13343.0,PROD-001,3,299.99,2025-11-04 15:00:00,Web,899.97,2025,11,2025-11,Tuesday,15
INV-100098,13851.0,PROD-004,1,19.99,2026-05-07 16:00:00,Mobile App,19.99,2026,5,2026-05,Thursday,16
INV-100099,11365.0,PROD-002,4,19.99,2025-03-11 08:00:00,Web,79.96,2025,3,2025-03,Tuesday,8
INV-100100,11531.0,PROD-003,3,150.0,2025-02-05 14:00:00,Web,450.0,2025,2,2025-02,Wednesday,14
INV-100101,14363.0,PROD-002,6,299.99,2025-07-26 18:00:00,Web,1799.94,2025,7,2025-07,Saturday,18
INV-100102,10766.0,PROD-005,2,4.99,2025-06-05 10:00:00,B2B Portal,9.98,2025,6,2025-06,Thursday,10
INV-100104,14798.0,PROD-005,1,150.0,2025-07-15 17:00:00,Mobile App,150.0,2025,7,2025-07,Tuesday,17
INV-100105,11077.0,PROD-005,6,150.0,2025-04-11 09:00:00,Mobile App,900.0,2025,4,2025-04,Friday,9
INV-100107,10064.0,PROD-005,9,299.99,2025-08-21 10:00:00,Web,2699.91,2025,8,2025-08,Thursday,10
INV-100108,14779.0,PROD-005,4,4.99,2025-03-11 18:00:00,Mobile App,19.96,2025,3,2025-03,Tuesday,18
INV-100109,13440.0,PROD-003,1,4.99,2025-01-25 10:00:00,Mobile App,4.99,2025,1,2025-01,Saturday,10
INV-100110,14142.0,PROD-004,5,299.99,2025-09-09 08:00:00,Web,1499.95,2025,9,2025-09,Tuesday,8
INV-100111,10713.0,PROD-002,9,4.99,2025-12-22 17:00:00,Web,44.910000000000004,2025,12,2025-12,Monday,17
INV-100113,10671.0,PROD-004,1,4.99,2026-01-19 16:00:00,Web,4.99,2026,1,2026-01,Monday,16
INV-100114,14858.0,PROD-001,1,19.99,2025-04-28 11:00:00,Web,19.99,2025,4,2025-04,Monday,11
INV-100115,11931.0,PROD-003,3,49.99,2025-12-07 09:00:00,Mobile App,149.97,2025,12,2025-12,Sunday,9
INV-100116,10709.0,PROD-003,6,49.99,2025-08-10 12:00:00,Web,299.94,2025,8,2025-08,Sunday,12
INV-100118,10740.0,PROD-005,2,150.0,2025-08-27 13:00:00,Web,300.0,2025,8,2025-08,Wednesday,13
INV-100119,10659.0,PROD-001,8,150.0,2025-10-17 18:00:00,Mobile App,1200.0,2025,10,2025-10,Friday,18
INV-100120,11484.0,PROD-002,7,150.0,2026-05-01 17:00:00,Web,1050.0,2026,5,2026-05,Friday,17
INV-100121,14673.0,PROD-001,3,150.0,2025-05-19 19:00:00,B2B Portal,450.0,2025,5,2025-05,Monday,19
INV-100122,12724.0,PROD-003,2,150.0,2025-11-12 15:00:00,Web,300.0,2025,11,2025-11,Wednesday,15
INV-100123,11585.0,PROD-001,9,299.99,2025-05-10 12:00:00,Mobile App,2699.91,2025,5,2025-05,Saturday,12
INV-100124,12324.0,PROD-002,5,299.99,2026-04-18 11:00:00,Web,1499.95,2026,4,2026-04,Saturday,11
INV-100125,13696.0,PROD-005,2,150.0,2026-03-05 13:00:00,Web,300.0,2026,3,2026-03,Thursday,13
INV-100126,12695.0,PROD-005,9,49.99,2026-01-25 13:00:00,Mobile App,449.91,2026,1,2026-01,Sunday,13
INV-100127,12324.0,PROD-004,6,49.99,2026-04-08 09:00:00,Mobile App,299.94,2026,4,2026-04,Wednesday,9
INV-100128,14777.0,PROD-004,1,150.0,2025-10-31 12:00:00,B2B Portal,150.0,2025,10,2025-10,Friday,12
INV-100129,12901.0,PROD-002,8,19.99,2025-09-18 10:00:00,Web,159.92,2025,9,2025-09,Thursday,10
INV-100130,12546.0,PROD-004,2,150.0,2026-01-22 12:00:00,Web,300.0,2026,1,2026-01,Thursday,12
INV-100131,12950.0,PROD-005,9,299.99,2026-01-23 11:00:00,B2B Portal,2699.91,2026,1,2026-01,Friday,11
INV-100132,12557.0,PROD-005,7,299.99,2025-11-11 19:00:00,B2B Portal,2099.9300000000003,2025,11,2025-11,Tuesday,19
INV-100133,14014.0,PROD-004,9,150.0,2025-12-20 12:00:00,Web,1350.0,2025,12,2025-12,Saturday,12
INV-100135,14875.0,PROD-005,8,49.99,2025-12-11 14:00:00,Mobile App,399.92,2025,12,2025-12,Thursday,14
INV-100136,11060.0,PROD-004,8,49.99,2025-09-24 09:00:00,Web,399.92,2025,9,2025-09,Wednesday,9
INV-100137,11819.0,PROD-004,3,299.99,2025-04-09 19:00:00,Web,899.97,2025,4,2025-04,Wednesday,19
INV-100138,12938.0,PROD-002,4,4.99,2025-02-24 09:00:00,Mobile App,19.96,2025,2,2025-02,Monday,9
INV-100139,11122.0,PROD-002,4,19.99,2026-01-09 11:00:00,Web,79.96,2026,1,2026-01,Friday,11
INV-100140,13171.0,PROD-005,5,150.0,2025-10-30 10:00:00,Web,750.0,2025,10,2025-10,Thursday,10
INV-100141,12814.0,PROD-003,7,150.0,2025-09-28 14:00:00,Web,1050.0,2025,9,2025-09,Sunday,14
INV-100142,13748.0,PROD-004,2,19.99,2025-10-03 15:00:00,Web,39.98,2025,10,2025-10,Friday,15
INV-100143,14748.0,PROD-001,7,49.99,2026-05-07 10:00:00,Web,349.93,2026,5,2026-05,Thursday,10
INV-100144,12062.0,PROD-003,2,49.99,2025-05-04 15:00:00,Mobile App,99.98,2025,5,2025-05,Sunday,15
INV-100145,14042.0,PROD-004,5,49.99,2026-02-22 12:00:00,Mobile App,249.95000000000002,2026,2,2026-02,Sunday,12
INV-100146,11276.0,PROD-003,3,299.99,2026-04-13 17:00:00,B2B Portal,899.97,2026,4,2026-04,Monday,17
INV-100147,14138.0,PROD-004,6,19.99,2025-06-23 16:00:00,Web,119.94,2025,6,2025-06,Monday,16
INV-100148,12744.0,PROD-004,1,150.0,2026-02-17 19:00:00,B2B Portal,150.0,2026,2,2026-02,Tuesday,19
INV-100149,11527.0,PROD-003,8,4.99,2026-02-08 11:00:00,Mobile App,39.92,2026,2,2026-02,Sunday,11
INV-100151,12938.0,PROD-004,1,49.99,2025-09-07 18:00:00,Web,49.99,2025,9,2025-09,Sunday,18
INV-100152,11693.0,PROD-005,9,49.99,2025-10-10 12:00:00,Mobile App,449.91,2025,10,2025-10,Friday,12
INV-100153,14455.0,PROD-003,5,299.99,2025-03-05 16:00:00,Web,1499.95,2025,3,2025-03,Wednesday,16
INV-100154,13461.0,PROD-002,7,299.99,2026-01-09 18:00:00,Web,2099.9300000000003,2026,1,2026-01,Friday,18
INV-100155,11597.0,PROD-001,8,299.99,2026-03-17 12:00:00,Mobile App,2399.92,2026,3,2026-03,Tuesday,12
INV-100156,12790.0,PROD-004,6,150.0,2025-11-15 14:00:00,Web,900.0,2025,11,2025-11,Saturday,14
INV-100157,12681.0,PROD-004,5,19.99,2026-03-29 13:00:00,Web,99.94999999999999,2026,3,2026-03,Sunday,13
INV-100158,10253.0,PROD-005,6,299.99,2025-01-03 10:00:00,Web,1799.94,2025,1,2025-01,Friday,10
INV-100159,11734.0,PROD-002,5,19.99,2026-03-31 12:00:00,Mobile App,99.94999999999999,2026,3,2026-03,Tuesday,12
INV-100160,14199.0,PROD-004,1,49.99,2025-06-01 16:00:00,Web,49.99,2025,6,2025-06,Sunday,16
INV-100161,11077.0,PROD-002,4,19.99,2025-02-02 19:00:00,Mobile App,79.96,2025,2,2025-02,Sunday,19
INV-100162,14493.0,PROD-004,5,299.99,2025-11-24 15:00:00,Mobile App,1499.95,2025,11,2025-11,Monday,15
INV-100163,10878.0,PROD-001,8,4.99,2025-09-24 16:00:00,Web,39.92,2025,9,2025-09,Wednesday,16
INV-100164,11597.0,PROD-005,6,4.99,2025-03-25 13:00:00,Mobile App,29.94,2025,3,2025-03,Tuesday,13
INV-100165,10004.0,PROD-001,4,150.0,2025-02-25 09:00:00,Mobile App,600.0,2025,2,2025-02,Tuesday,9
INV-100166,13202.0,PROD-001,2,299.99,2025-11-23 16:00:00,Web,599.98,2025,11,2025-11,Sunday,16
INV-100167,11495.0,PROD-003,1,19.99,2026-05-09 08:00:00,Web,19.99,2026,5,2026-05,Saturday,8
INV-100168,10470.0,PROD-001,8,19.99,2025-06-16 14:00:00,B2B Portal,159.92,2025,6,2025-06,Monday,14
INV-100169,14146.0,PROD-005,2,49.99,2025-02-27 16:00:00,Web,99.98,2025,2,2025-02,Thursday,16
INV-100170,12565.0,PROD-005,6,19.99,2026-01-04 10:00:00,Web,119.94,2026,1,2026-01,Sunday,10
INV-100171,14737.0,PROD-004,7,299.99,2025-08-04 16:00:00,Mobile App,2099.9300000000003,2025,8,2025-08,Monday,16
INV-100172,10638.0,PROD-001,9,19.99,2025-01-03 17:00:00,Web,179.91,2025,1,2025-01,Friday,17
INV-100173,13974.0,PROD-002,9,150.0,2025-02-19 13:00:00,B2B Portal,1350.0,2025,2,2025-02,Wednesday,13
INV-100174,12141.0,PROD-003,7,49.99,2025-05-29 16:00:00,Web,349.93,2025,5,2025-05,Thursday,16
INV-100175,13440.0,PROD-003,9,49.99,2025-02-20 11:00:00,Web,449.91,2025,2,2025-02,Thursday,11
INV-100176,13072.0,PROD-003,9,49.99,2025-08-23 10:00:00,Web,449.91,2025,8,2025-08,Saturday,10
INV-100178,10635.0,PROD-005,3,4.99,2026-01-30 19:00:00,Web,14.97,2026,1,2026-01,Friday,19
INV-100179,14854.0,PROD-004,5,150.0,2025-08-30 19:00:00,Mobile App,750.0,2025,8,2025-08,Saturday,19
INV-100180,10876.0,PROD-001,3,150.0,2025-04-11 17:00:00,Web,450.0,2025,4,2025-04,Friday,17
INV-100182,14330.0,PROD-003,5,150.0,2025-11-19 11:00:00,Mobile App,750.0,2025,11,2025-11,Wednesday,11
INV-100183,10608.0,PROD-005,1,4.99,2025-12-12 10:00:00,B2B Portal,4.99,2025,12,2025-12,Friday,10
INV-100184,14499.0,PROD-001,5,49.99,2025-01-30 10:00:00,Mobile App,249.95000000000002,2025,1,2025-01,Thursday,10
INV-100185,11585.0,PROD-005,1,19.99,2025-03-03 15:00:00,Mobile App,19.99,2025,3,2025-03,Monday,15
INV-100186,14621.0,PROD-001,3,19.99,2025-07-29 17:00:00,B2B Portal,59.97,2025,7,2025-07,Tuesday,17
INV-100187,14014.0,PROD-004,4,49.99,2025-11-28 14:00:00,Mobile App,199.96,2025,11,2025-11,Friday,14
INV-100188,14748.0,PROD-005,9,299.99,2025-07-25 10:00:00,B2B Portal,2699.91,2025,7,2025-07,Friday,10
INV-100189,12967.0,PROD-001,6,299.99,2025-04-22 16:00:00,B2B Portal,1799.94,2025,4,2025-04,Tuesday,16
INV-100190,11819.0,PROD-001,7,4.99,2025-08-28 12:00:00,Web,34.93,2025,8,2025-08,Thursday,12
INV-100191,12982.0,PROD-002,7,19.99,2025-03-30 17:00:00,Web,139.92999999999998,2025,3,2025-03,Sunday,17
INV-100192,10595.0,PROD-004,7,4.99,2026-01-21 09:00:00,Web,34.93,2026,1,2026-01,Wednesday,9
INV-100193,11625.0,PROD-005,8,19.99,2026-03-15 09:00:00,Web,159.92,2026,3,2026-03,Sunday,9
INV-100195,11668.0,PROD-005,9,4.99,2026-02-20 18:00:00,Web,44.910000000000004,2026,2,2026-02,Friday,18
INV-100196,11944.0,PROD-003,4,19.99,2025-02-05 18:00:00,Mobile App,79.96,2025,2,2025-02,Wednesday,18
INV-100197,12435.0,PROD-003,2,299.99,2026-01-06 14:00:00,Web,599.98,2026,1,2026-01,Tuesday,14
INV-100198,13140.0,PROD-001,8,19.99,2025-04-19 16:00:00,Web,159.92,2025,4,2025-04,Saturday,16
INV-100199,12777.0,PROD-002,5,49.99,2025-10-17 11:00:00,Web,249.95000000000002,2025,10,2025-10,Friday,11
INV-100200,12731.0,PROD-001,5,19.99,2025-04-08 13:00:00,Web,99.94999999999999,2025,4,2025-04,Tuesday,13
INV-100201,14548.0,PROD-001,6,49.99,2025-12-06 15:00:00,Web,299.94,2025,12,2025-12,Saturday,15
INV-100202,14117.0,PROD-001,2,19.99,2026-02-19 11:00:00,Mobile App,39.98,2026,2,2026-02,Thursday,11
INV-100203,14980.0,PROD-003,9,49.99,2026-03-23 15:00:00,Web,449.91,2026,3,2026-03,Monday,15
INV-100204,11409.0,PROD-001,1,4.99,2025-03-04 17:00:00,B2B Portal,4.99,2025,3,2025-03,Tuesday,17
INV-100205,12774.0,PROD-001,4,49.99,2025-10-16 19:00:00,Web,199.96,2025,10,2025-10,Thursday,19
INV-100206,12165.0,PROD-001,3,49.99,2025-05-13 18:00:00,B2B Portal,149.97,2025,5,2025-05,Tuesday,18
INV-100207,14492.0,PROD-001,6,4.99,2025-07-30 19:00:00,Web,29.94,2025,7,2025-07,Wednesday,19
INV-100208,11906.0,PROD-002,1,49.99,2025-04-05 17:00:00,B2B Portal,49.99,2025,4,2025-04,Saturday,17
INV-100209,12504.0,PROD-005,9,19.99,2025-03-13 13:00:00,Mobile App,179.91,2025,3,2025-03,Thursday,13
INV-100210,12081.0,PROD-002,4,299.99,2026-02-07 15:00:00,Mobile App,1199.96,2026,2,2026-02,Saturday,15
INV-100211,14360.0,PROD-004,8,4.99,2025-01-20 11:00:00,Web,39.92,2025,1,2025-01,Monday,11
INV-100212,11363.0,PROD-002,6,150.0,2025-04-11 08:00:00,Web,900.0,2025,4,2025-04,Friday,8
INV-100214,12141.0,PROD-003,5,4.99,2026-04-02 11:00:00,Web,24.950000000000003,2026,4,2026-04,Thursday,11
INV-100216,12158.0,PROD-001,2,19.99,2025-04-10 10:00:00,B2B Portal,39.98,2025,4,2025-04,Thursday,10
INV-100217,11191.0,PROD-004,4,299.99,2026-02-26 15:00:00,B2B Portal,1199.96,2026,2,2026-02,Thursday,15
INV-100218,11331.0,PROD-003,1,19.99,2025-10-27 11:00:00,Web,19.99,2025,10,2025-10,Monday,11
INV-100219,14699.0,PROD-005,1,49.99,2025-03-16 19:00:00,B2B Portal,49.99,2025,3,2025-03,Sunday,19
INV-100220,13170.0,PROD-004,9,4.99,2025-09-28 12:00:00,Web,44.910000000000004,2025,9,2025-09,Sunday,12
INV-100221,13059.0,PROD-003,3,19.99,2025-10-02 19:00:00,Web,59.97,2025,10,2025-10,Thursday,19
INV-100222,11838.0,PROD-001,6,299.99,2025-10-08 11:00:00,Web,1799.94,2025,10,2025-10,Wednesday,11
INV-100224,14972.0,PROD-003,9,4.99,2025-10-28 10:00:00,B2B Portal,44.910000000000004,2025,10,2025-10,Tuesday,10
INV-100225,14598.0,PROD-001,5,19.99,2025-05-28 09:00:00,B2B Portal,99.94999999999999,2025,5,2025-05,Wednesday,9
INV-100226,11707.0,PROD-004,4,150.0,2025-01-01 14:00:00,Web,600.0,2025,1,2025-01,Wednesday,14
INV-100227,12931.0,PROD-003,9,4.99,2025-04-03 12:00:00,B2B Portal,44.910000000000004,2025,4,2025-04,Thursday,12
INV-100228,12435.0,PROD-001,9,299.99,2025-03-28 17:00:00,Web,2699.91,2025,3,2025-03,Friday,17
INV-100229,14980.0,PROD-004,9,19.99,2026-03-13 17:00:00,Web,179.91,2026,3,2026-03,Friday,17
INV-100230,13356.0,PROD-001,3,4.99,2025-04-13 09:00:00,Mobile App,14.97,2025,4,2025-04,Sunday,9
INV-100231,13385.0,PROD-002,7,299.99,2025-03-25 08:00:00,Web,2099.9300000000003,2025,3,2025-03,Tuesday,8
INV-100232,10502.0,PROD-004,1,49.99,2026-05-13 16:00:00,Web,49.99,2026,5,2026-05,Wednesday,16
INV-100233,14721.0,PROD-002,1,150.0,2026-02-18 19:00:00,Web,150.0,2026,2,2026-02,Wednesday,19
INV-100234,13522.0,PROD-003,5,150.0,2025-04-29 12:00:00,Web,750.0,2025,4,2025-04,Tuesday,12
INV-100236,14029.0,PROD-003,2,49.99,2025-04-01 18:00:00,Web,99.98,2025,4,2025-04,Tuesday,18
INV-100237,10924.0,PROD-004,2,299.99,2025-12-16 11:00:00,Web,599.98,2025,12,2025-12,Tuesday,11
INV-100238,12435.0,PROD-005,2,19.99,2025-10-09 18:00:00,Web,39.98,2025,10,2025-10,Thursday,18
INV-100241,11409.0,PROD-005,7,299.99,2025-06-07 19:00:00,Mobile App,2099.9300000000003,2025,6,2025-06,Saturday,19
INV-100243,10302.0,PROD-002,1,49.99,2025-10-02 16:00:00,B2B Portal,49.99,2025,10,2025-10,Thursday,16
INV-100245,10991.0,PROD-005,2,299.99,2025-06-17 17:00:00,Web,599.98,2025,6,2025-06,Tuesday,17
INV-100246,12811.0,PROD-002,7,299.99,2025-05-05 15:00:00,B2B Portal,2099.9300000000003,2025,5,2025-05,Monday,15
INV-100248,11012.0,PROD-005,4,19.99,2025-10-16 09:00:00,B2B Portal,79.96,2025,10,2025-10,Thursday,9
INV-100249,10537.0,PROD-002,3,19.99,2025-09-26 17:00:00,Web,59.97,2025,9,2025-09,Friday,17
INV-100250,10606.0,PROD-001,4,299.99,2026-04-21 12:00:00,Mobile App,1199.96,2026,4,2026-04,Tuesday,12
INV-100253,13637.0,PROD-002,3,49.99,2025-11-26 14:00:00,B2B Portal,149.97,2025,11,2025-11,Wednesday,14
INV-100254,13769.0,PROD-003,4,299.99,2025-06-25 10:00:00,Mobile App,1199.96,2025,6,2025-06,Wednesday,10
INV-100255,10608.0,PROD-004,6,150.0,2025-01-16 13:00:00,Mobile App,900.0,2025,1,2025-01,Thursday,13
